algorithm,mode,PDI,Mean candidate roads,Confusion risk,Ambiguous-share,Mean separation
Baseline flat 2D,baseline,33.51543524525637,1.0869565217391304,4.0183660205465515,0.34782608695652173,0.432021188245025
Elevation luminance,luminance,36.51543524525637,1.0869565217391304,3.6970290033207163,0.34782608695652173,0.432021188245025
Normal-offset layering,offset,30.412478206174107,1.4642857142857142,5.616512338523309,0.4166666666666667,0.3005126160755499
Triggered explode,explode,32.714936090595245,1.144927536231884,4.285719339195027,0.3333333333333333,0.39480393389706425
Full ELEX,elex,66.32737574188427,1.1304347826086956,2.1245960752912936,0.30434782608695654,0.3777414447165229
